individuo,flor,colcor,longpet,anchpet,longsep,anchsep,longped,diamcor
1,1,rosa,2,1.7,1.1,0.4,2,4
1,2,rosa,1.9,1.8,0.8,0.3,1.7,4
1,3,rosa,1.9,1.7,0.8,0.3,2.6,4
1,4,rosa,2,1.7,1,0.4,2.4,4
1,5,rosa,1.8,2,1,0.3,2.3,3.9
1,6,rosa,2,1.8,0.8,0.4,2,4
1,7,rosa,1.9,1.7,0.8,0.3,2.1,4.1
2,1,rosa,2.5,2,0.9,0.4,2.3,5.1
2,2,rosa,2.6,2.1,0.9,0.4,2.4,5
2,3,rosa,2.4,2,1,0.4,2.2,5
2,4,rosa,2.5,2.1,0.9,0.4,2.4,5.1
2,5,rosa,2.4,2,0.8,0.4,2.2,5
2,6,rosa,2.4,2,0.8,0.3,2.1,5
2,7,rosa,2.5,2,0.8,0.3,2,5
3,1,rosa,2.3,2,0.8,0.4,2,4.5
3,2,rosa,2.1,2,0.9,0.4,2.1,4.4
3,3,rosa,2.3,2.1,1,0.4,2.2,4.5
3,4,rosa,2.1,2.2,1,0.4,2.1,4.2
3,5,rosa,2.1,2,0.9,0.4,2.2,4.4
3,6,rosa,2.3,2,0.9,0.4,2.2,4.3
3,7,rosa,2,2,1,0.4,2.2,4.2
4,1,rosa,2.5,2,1,0.4,2.8,5.1
4,2,rosa,2.4,1.9,1,0.3,2.5,4.9
4,3,rosa,2.1,2,0.9,0.3,2.6,4.4
4,4,rosa,2.6,2.2,0.9,0.4,2.6,5
4,5,rosa,2.4,2,0.8,0.3,2.5,5
4,6,rosa,2.5,2.1,1,0.4,2.3,5
4,7,rosa,2.4,2,1,0.4,2.5,5
5,1,rosa,2,2,1,0.4,2.4,4.1
5,2,rosa,1.9,1.9,0.8,0.3,2.4,4
5,3,rosa,1.9,1.9,0.8,0.4,2.3,4
5,4,rosa,2,2,0.8,0.4,2.3,4.2
5,5,rosa,2,2,0.9,0.4,2.2,4.2
5,6,rosa,1.9,2,0.9,0.3,2.2,4
5,7,rosa,2,2.2,0.9,0.4,2.1,4
6,1,rosa,2.3,2.2,0.8,0.4,2.3,4.6
